company_name,ticker,sector,isin,yf_ticker
360 ONE WAM Ltd.,360ONE,Financial Services,INE466L01038,360ONE.NS
3M India Ltd.,3MINDIA,Diversified,INE470A01017,3MINDIA.NS
ABB India Ltd.,ABB,Capital Goods,INE117A01022,ABB.NS
ACC Ltd.,ACC,Construction Materials,INE012A01025,ACC.NS
ACME Solar Holdings Ltd.,ACMESOLAR,Power,INE622W01025,ACMESOLAR.NS
AIA Engineering Ltd.,AIAENG,Capital Goods,INE212H01026,AIAENG.NS
APL Apollo Tubes Ltd.,APLAPOLLO,Capital Goods,INE702C01027,APLAPOLLO.NS
AU Small Finance Bank Ltd.,AUBANK,Financial Services,INE949L01017,AUBANK.NS
AWL Agri Business Ltd.,AWL,Fast Moving Consumer Goods,INE699H01024,AWL.NS
Aadhar Housing Finance Ltd.,AADHARHFC,Financial Services,INE883F01010,AADHARHFC.NS
Aarti Industries Ltd.,AARTIIND,Chemicals,INE769A01020,AARTIIND.NS
Aavas Financiers Ltd.,AAVAS,Financial Services,INE216P01012,AAVAS.NS
Abbott India Ltd.,ABBOTINDIA,Healthcare,INE358A01014,ABBOTINDIA.NS
Action Construction Equipment Ltd.,ACE,Capital Goods,INE731H01025,ACE.NS
Acutaas Chemicals Ltd.,ACUTAAS,Healthcare,INE00FF01025,ACUTAAS.NS
Adani Energy Solutions Ltd.,ADANIENSOL,Power,INE931S01010,ADANIENSOL.NS
Adani Enterprises Ltd.,ADANIENT,Metals & Mining,INE423A01024,ADANIENT.NS
Adani Green Energy Ltd.,ADANIGREEN,Power,INE364U01010,ADANIGREEN.NS
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS,Services,INE742F01042,ADANIPORTS.NS
Adani Power Ltd.,ADANIPOWER,Power,INE814H01029,ADANIPOWER.NS
Adani Total Gas Ltd.,ATGL,Oil Gas & Consumable Fuels,INE399L01023,ATGL.NS
Aditya Birla Capital Ltd.,ABCAPITAL,Financial Services,INE674K01013,ABCAPITAL.NS
Aditya Birla Fashion and Retail Ltd.,ABFRL,Consumer Services,INE647O01011,ABFRL.NS
