company_name,ticker,sector,isin,market_cap_lakh,market_cap_source,market_cap_rank,market_cap_stratum,sampling_seed,market_cap_period,sector_benchmark,sector_benchmark_available
Bharti Airtel Ltd.,BHARTIARTL,Telecommunication,INE397D01024,113625128.61484711,"NSE 6M average market cap, Jul-Dec 2025",3,1,42,2025-07-01 to 2025-12-31,Nifty Telecommunications,True
Infosys Ltd.,INFY,Information Technology,INE009A01021,63510354.93953353,"NSE 6M average market cap, Jul-Dec 2025",7,1,42,2025-07-01 to 2025-12-31,Nifty IT,True
Hindustan Unilever Ltd.,HINDUNILVR,Fast Moving Consumer Goods,INE030A01027,58251812.46949194,"NSE 6M average market cap, Jul-Dec 2025",9,1,42,2025-07-01 to 2025-12-31,Nifty FMCG,True
Larsen & Toubro Ltd.,LT,Construction,INE018A01030,51876327.592403896,"NSE 6M average market cap, Jul-Dec 2025",11,1,42,2025-07-01 to 2025-12-31,Nifty Construction,True
UltraTech Cement Ltd.,ULTRACEMCO,Construction Materials,INE481G01011,35804548.314874925,"NSE 6M average market cap, Jul-Dec 2025",19,1,42,2025-07-01 to 2025-12-31,Nifty Cement,True
Eternal Ltd.,ETERNAL,Consumer Services,INE758T01015,29713850.88757773,"NSE 6M average market cap, Jul-Dec 2025",26,1,42,2025-07-01 to 2025-12-31,Nifty Consumer Services,True
Bharat Electronics Ltd.,BEL,Capital Goods,INE263A01024,29301161.414869957,"NSE 6M average market cap, Jul-Dec 2025",27,1,42,2025-07-01 to 2025-12-31,Nifty Capital Goods,True
JSW Steel Ltd.,JSWSTEEL,Metals & Mining,INE019A01038,27041985.222946495,"NSE 6M average market cap, Jul-Dec 2025",30,1,42,2025-07-01 to 2025-12-31,Nifty Metal,True
Adani Power Ltd.,ADANIPOWER,Power,INE814H01029,26436010.492891278,"NSE 6M average market cap, Jul-Dec 2025",31,1,42,2025-07-01 to 2025-12-31,Nifty Power,True
Asian Paints Ltd.,ASIANPAINT,Consumer Durables,INE021A01026,24642522.04246381,"NSE 6M average market cap, Jul-Dec 2025",34,1,42,2025-07-01 to 2025-12-31,Nifty Consumer Durables,True
Bajaj Auto Ltd.,BAJAJ-AUTO,Automobile and Auto Components,INE917I01010,24514340.995351113,"NSE 6M average market cap, Jul-Dec 2025",35,1,42,2025-07-01 to 2025-12-31,Nifty Auto,True
InterGlobe Aviation Ltd.,INDIGO,Services,INE646L01027,21978715.083893534,"NSE 6M average market cap, Jul-Dec 2025",38,1,42,2025-07-01 to 2025-12-31,,False
Indian Oil Corporation Ltd.,IOC,Oil Gas & Consumable Fuels,INE242A01010,21688451.39782409,"NSE 6M average market cap, Jul-Dec 2025",39,1,42,2025-07-01 to 2025-12-31,Nifty Oil & Gas,True
Pidilite Industries Ltd.,PIDILITIND,Chemicals,INE318A01026,15230617.835739804,"NSE 6M average market cap, Jul-Dec 2025",59,1,42,2025-07-01 to 2025-12-31,Nifty Chemicals,True
Tata Capital Ltd.,TATACAP,Financial Services,INE976I01016,13878329.188441873,"NSE 6M average market cap, Jul-Dec 2025",65,1,42,2025-07-01 to 2025-12-31,Nifty Financial Services,True
Cipla Ltd.,CIPLA,Healthcare,INE059A01026,12355381.149699027,"NSE 6M average market cap, Jul-Dec 2025",76,1,42,2025-07-01 to 2025-12-31,Nifty Healthcare,True
Lodha Developers Ltd.,LODHA,Realty,INE670K01029,12040105.41122381,"NSE 6M average market cap, Jul-Dec 2025",79,1,42,2025-07-01 to 2025-12-31,Nifty Realty,True
Polycab India Ltd.,POLYCAB,Capital Goods,INE455K01017,10946788.3174875,"NSE 6M average market cap, Jul-Dec 2025",93,1,42,2025-07-01 to 2025-12-31,Nifty Capital Goods,True
Hero MotoCorp Ltd.,HEROMOTOCO,Automobile and Auto Components,INE158A01026,10554351.319524573,"NSE 6M average market cap, Jul-Dec 2025",99,1,42,2025-07-01 to 2025-12-31,Nifty Auto,True
Dr. Reddy's Laboratories Ltd.,DRREDDY,Healthcare,INE089A01031,10517030.361196348,"NSE 6M average market cap, Jul-Dec 2025",100,1,42,2025-07-01 to 2025-12-31,Nifty Healthcare,True
Shree Cement Ltd.,SHREECEM,Construction Materials,INE070A01015,10452277.704942858,"NSE 6M average market cap, Jul-Dec 2025",101,2,42,2025-07-01 to 2025-12-31,Nifty Cement,True
